nome;nteste;qtdit;qtdalloc;tempo
UNIX;0;50;1;0.000003
Half fit;0;50;1;0.000022
Quick fit;0;50;1;0.000002
First fit;0;50;1;0.000001
Best fit;0;50;1;0.000002
Worst fit;0;50;1;0.000002
UNIX;1;50;1;0.000018
Half fit;1;50;1;0.000003
Quick fit;1;50;1;0.000001
First fit;1;50;1;0.000002
Best fit;1;50;1;0.000161
Worst fit;1;50;1;0.000002
UNIX;2;50;1;0.000001
Half fit;2;50;1;0.000002
Quick fit;2;50;1;0.000000
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000000
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000002
Half fit;3;50;1;0.000003
Quick fit;3;50;1;0.000052
First fit;3;50;1;0.000050
Best fit;3;50;1;0.000001
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000002
Half fit;0;50;1;0.000020
Quick fit;0;50;1;0.000003
First fit;0;50;1;0.000002
Best fit;0;50;1;0.000001
Worst fit;0;50;1;0.000001
UNIX;1;50;1;0.000006
Half fit;1;50;1;0.000002
Quick fit;1;50;1;0.000001
First fit;1;50;1;0.000001
Best fit;1;50;1;0.000166
Worst fit;1;50;1;0.000002
UNIX;2;50;1;0.000001
Half fit;2;50;1;0.000002
Quick fit;2;50;1;0.000000
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000001
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000002
Half fit;3;50;1;0.000003
Quick fit;3;50;1;0.000001
First fit;3;50;1;0.000002
Best fit;3;50;1;0.000002
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000002
Half fit;0;50;1;0.000023
Quick fit;0;50;1;0.000003
First fit;0;50;1;0.000001
Best fit;0;50;1;0.000002
Worst fit;0;50;1;0.000002
UNIX;1;50;1;0.000002
Half fit;1;50;1;0.000004
Quick fit;1;50;1;0.000001
First fit;1;50;1;0.000003
Best fit;1;50;1;0.000001
Worst fit;1;50;1;0.000002
UNIX;2;50;1;0.000001
Half fit;2;50;1;0.000001
Quick fit;2;50;1;0.000000
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000001
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000001
Half fit;3;50;1;0.000002
Quick fit;3;50;1;0.000001
First fit;3;50;1;0.000000
Best fit;3;50;1;0.000002
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000002
Half fit;0;50;1;0.000037
Quick fit;0;50;1;0.000003
First fit;0;50;1;0.000002
Best fit;0;50;1;0.000001
Worst fit;0;50;1;0.000002
UNIX;1;50;1;0.000002
Half fit;1;50;1;0.000004
Quick fit;1;50;1;0.000001
First fit;1;50;1;0.000003
Best fit;1;50;1;0.000002
Worst fit;1;50;1;0.000002
UNIX;2;50;1;0.000001
Half fit;2;50;1;0.000002
Quick fit;2;50;1;0.000000
First fit;2;50;1;0.000001
Best fit;2;50;1;0.000001
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000001
Half fit;3;50;1;0.000002
Quick fit;3;50;1;0.000001
First fit;3;50;1;0.000000
Best fit;3;50;1;0.000001
Worst fit;3;50;1;0.000002
UNIX;0;50;1;0.000002
Half fit;0;50;1;0.000020
Quick fit;0;50;1;0.000002
First fit;0;50;1;0.000001
Best fit;0;50;1;0.000002
Worst fit;0;50;1;0.000002
UNIX;1;50;1;0.000001
Half fit;1;50;1;0.000003
Quick fit;1;50;1;0.000000
First fit;1;50;1;0.000002
Best fit;1;50;1;0.000001
Worst fit;1;50;1;0.000001
UNIX;2;50;1;0.000001
Half fit;2;50;1;0.000002
Quick fit;2;50;1;0.000001
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000000
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000001
Half fit;3;50;1;0.000004
Quick fit;3;50;1;0.000002
First fit;3;50;1;0.000001
Best fit;3;50;1;0.000001
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000002
Half fit;0;50;1;0.000023
Quick fit;0;50;1;0.000003
First fit;0;50;1;0.000002
Best fit;0;50;1;0.000002
Worst fit;0;50;1;0.000002
UNIX;1;50;1;0.000002
Half fit;1;50;1;0.000004
Quick fit;1;50;1;0.000001
First fit;1;50;1;0.000002
Best fit;1;50;1;0.000002
Worst fit;1;50;1;0.000002
UNIX;2;50;1;0.000001
Half fit;2;50;1;0.000002
Quick fit;2;50;1;0.000000
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000001
Worst fit;2;50;1;0.000000
UNIX;3;50;1;0.000002
Half fit;3;50;1;0.000003
Quick fit;3;50;1;0.000002
First fit;3;50;1;0.000001
Best fit;3;50;1;0.000001
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000002
Half fit;0;50;1;0.000024
Quick fit;0;50;1;0.000003
First fit;0;50;1;0.000002
Best fit;0;50;1;0.000001
Worst fit;0;50;1;0.000002
UNIX;1;50;1;0.000001
Half fit;1;50;1;0.000004
Quick fit;1;50;1;0.000000
First fit;1;50;1;0.000002
Best fit;1;50;1;0.000001
Worst fit;1;50;1;0.000001
UNIX;2;50;1;0.000000
Half fit;2;50;1;0.000001
Quick fit;2;50;1;0.000001
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000000
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000002
Half fit;3;50;1;0.000002
Quick fit;3;50;1;0.000001
First fit;3;50;1;0.000000
Best fit;3;50;1;0.000002
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000002
Half fit;0;50;1;0.000022
Quick fit;0;50;1;0.000002
First fit;0;50;1;0.000011
Best fit;0;50;1;0.000003
Worst fit;0;50;1;0.000001
UNIX;1;50;1;0.000010
Half fit;1;50;1;0.000001
Quick fit;1;50;1;0.000002
First fit;1;50;1;0.000192
Best fit;1;50;1;0.000002
Worst fit;1;50;1;0.000001
UNIX;2;50;1;0.000000
Half fit;2;50;1;0.000002
Quick fit;2;50;1;0.000001
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000000
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000001
Half fit;3;50;1;0.000003
Quick fit;3;50;1;0.000002
First fit;3;50;1;0.000001
Best fit;3;50;1;0.000001
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000001
Half fit;0;50;1;0.000021
Quick fit;0;50;1;0.000002
First fit;0;50;1;0.000001
Best fit;0;50;1;0.000002
Worst fit;0;50;1;0.000002
UNIX;1;50;1;0.000018
Half fit;1;50;1;0.000001
Quick fit;1;50;1;0.000002
First fit;1;50;1;0.000202
Best fit;1;50;1;0.000002
Worst fit;1;50;1;0.000001
UNIX;2;50;1;0.000001
Half fit;2;50;1;0.000001
Quick fit;2;50;1;0.000000
First fit;2;50;1;0.000000
Best fit;2;50;1;0.000000
Worst fit;2;50;1;0.000001
UNIX;3;50;1;0.000002
Half fit;3;50;1;0.000004
Quick fit;3;50;1;0.000012
First fit;3;50;1;0.000002
Best fit;3;50;1;0.000002
Worst fit;3;50;1;0.000001
UNIX;0;50;1;0.000013
Half fit;0;50;1;0.000023
